35068706;Escola Alexandre Vannuchi Leme (EMEF);8472170;RUA IGARAPE DA DIANA;COHAB INACIO MONTEIRO
35003300;Escola Alfredo Ashcar Prof;3946010;R JOSE FRANCISCO SANTOS;JD TIETE
35003897;Escola Alfredo Bresser;5428010;R SUMIDOURO;PINHEIROS
35040319;Escola Alfredo Gomes Prof;2617050;R MARIA DE SAO JOSE CUNHA;VL B VISTA
35001168;Escola Alfredo Inacio Trindade;2255130;RUA JOAO ROSA;VILA NIVI
35003189;Escola Alfredo Machado Pedrosa Prof;3958010;R ANTONIO PREVIATO;C S MATEUS
35003360;Escola Alfredo Paulino;5059040;R CAATIVA;AT LAPA
35005400;Escola Alfredo Vianello Gregorio Comendador;5818260;R FILIPE DE VERAS;JD VERGUEIRO
35424161;Escola Alice Meirelles Reis Profa (EMEF);2810000;AV ELISIO TEIXEIRA LEITE;SITIO MORRO GRANDE
35053284;Escola Alipio Andrada Serpa Tte (EMEF);5546000;RUA NICOLAU COPERNICO;JARDIM BATAGLIA
35098462;Escola Alipio Correa Neto Prof (EMEF);5742100;AVENIDA JOAO CAIAFFA;JARDIM TABOAO
35000206;Escola Alipio De Barros Prof;2942000;AV COMENDADOR FEIZ ZARZUR;JD C PIRITUBA
35037436;Escola Almeida Junior Prof;5588001;AV ENGENHEIRO HEITOR ANTONIO EIRAS GARCIA;JD MARIA LUIZA
35054306;Escola Almeida Junior Prof (EMEF);4766050;FRANCISCO MENDES;SOCORRO
35002239;Escola Almerinda Rodrigues Mello Profa;3381000;R REI ALBERTO DA BELGICA;CH BELENZINHO
35398408;Escola Almirante Ceu Emefto Alegre;8381001;BENTO GUELFI;JARDIM DA LARANJEIRA ZONA LESTE
35056571;Escola Almirante Ceu Emefvarenga;4474340;ESTRADA DO ALVARENGA;BALNEARIO SAO FRANCISCO
35054914;Escola Altino Arantes (EMEF);3256000;CORONEL AUGUSTO CELSO DE MOURA;VILA ELZE
35055037;Escola Alvares De Azevedo (EMEF);3245010;ALCACUZ;JARDIM GUAIRACA ZONA LESTE
35003190;Escola Alvares De Azevedo;8210210;R IGNACIO ALVES DE MATTOS;ITAQUERA
35037618;Escola Alvaro De Souza Lima Dr;4194280;R MEMORIAL DE AIRES;JD S SAVERIO
35053181;Escola Alvaro Silva Braga Gen (EMEF);5386070;PADRE PAULO CANELLES;VILA DALVA
35002045;Escola Alvino Bittencourt Prof;3406040;R FRANCISCO MACHADO DE CAMPOS;CH CALIFORNIA
35001466;Escola Amadeu Amaral;3057040;LRG SAO JOSE DO BELEM;BELENZINHO
35055116;Escola Amadeu Amaral (EMEF);3676090;PRACA DOUTOR TOLOZA DE OLIVEIRA;JARDIM TRES MARIAS
35054665;Escola Amadeu Mendes Prof (EMEF);5125090;RUA TOMAS LOPES FERREIRA;PARQUE SAO DOMINGOS
35041671;Escola Amador Arruda Mendes Prof;3589010;AV SILVIO TORRES;CJ HAB P J ANCHIETA
35923539;Escola Amador Dos Santos Fernandes Prof;8150450;R JOAO MENDES DE CARVALHO;JD ROBRU
35002057;Escola Amelia De Araujo Dona;3433025;RUA VACANGA;VL FERNANDES
35098723;Escola Amelia Imp Da (EMEF);3974050;AVENIDA TENENTE LAURO SODRE;JARDIM SANTA ADELIA
35005411;Escola Amelia Kerr Nogueira Profa;4962000;AV DOS FUNCIONARIOS PUBLICOS;JD. HORIZONTE AZUL
35044027;Escola Amelia Moncon Ramponi Profa;4456000;R SAO CONSTANTINO;JD S CRUZ
35445548;Escola Amelia Rodrigues De Oliveira Profa (EMEF);4475230;DOS BOROS;VILA GUACURI
35001284;Escola Amenaide Braga De Queiroz Profa;2337040;RUA BARRA MANSA;JARDIM FRANCA
35053144;Escola Amorim Lima Des (EMEF);5587160;RUA PROFESSOR VICENTE PEIXOTO;VILA GOMES
35039172;Escola Ana Luiza Florence Borges Profa;4892010;RUA JOSE PAULO CANDIDO;JD SILVEIRA
35410743;Escola Ana Maria Alves Benetti Profa (EMEF);4330060;CRUZ DAS ALMAS;VILA CAMPESTRE
35050398;Escola Ana Maria Bento Professora;4849080;RUA MINISTRO MARIO DAVID ANDREAZZA;PARQUE RESIDENCIAL COCAIA
35004169;Escola Ana Rosa De Araujo Dona;5619000;R EDEN;VL INAH
35037692;Escola Ana Siqueira Da Silva;5182000;R MAURO DE ARAUJO RIBEIRO;C D ABRIL
35076132;Escola Analia Franco Bastos (EMEF);3021020;ARISTON AZEVEDO;CATUMBI
35001659;Escola Anchieta Padre;3012050;R VISCONDE ABAETE, DE;BRAS
35001739;Escola Andre Dreyfus Prof;3138010;R PEDRO DE GODOI;VILA ZELINA
35003311;Escola Andre Nunes Junior;8320200;R SALVADOR DE PAIVA;PRQ S RAFAEL
35001430;Escola Andre Ohl;3345000;AV SAPOPEMBA;VILA DIVA
35053089;Escola Andre Rodrigues De Alckmin Prof (EMEF);2853010;MARCELINO JOSE DE FREITAS;VILA TERESINHA
35001442;Escola Andre Xavier Gallicho Prof;3165002;RUA DA MOOCA;MOOCA
35000784;Escola Anesia Sincora Profa;2055001;R JOSE BERNARDO PINTO;VL GUILHERME
35000437;Escola Angelina Madureira Profa;2723000;R VICENTE FERREIRA LEITE;VL SIQUEIRA
35053351;Escola Angelina Maffei Vita Da (EMEF);2545000;RUA ZILDA;CASA VERDE ALTA
35001272;Escola Angelo Bortolo;2352090;R ANTONIO GONCALVES SILVA;BORTOLANDIA
35004698;Escola Angelo Mendes De Almeida Dr;4347110;R APACE;JD ORIENTAL
35003384;Escola Anhanguera;5074020;R ANTONIO RAPOSO;LAPA
35053533;Escola Anibal Freire Min (EMEF);5307040;RUA SILVA AIROSA;VILA RIBEIRO DE BARROS
35924738;Escola Anilza Pioli Profa;2820070;RUA VALE DO SOL;VILA BRASILANDIA
35037047;Escola Anisio Teixeira Prof;8215580;R RIO URUU;ITAQUERA
35917394;Escola Aniz Badra Dr;4849080;RUA MINISTRO MARIO DAVID ANDREAZZA;PRQ RES COCAIA
